2024-11-10 01:55:04,682 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Configure stats pid to 3760
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Loading settings from /root/.config/wandb/settings
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Loading settings from /root/SGD_NLG/wandb/settings
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train_model.py', 'program_abspath': '/root/SGD_NLG/train_model.py', 'program': '/root/SGD_NLG/train_model.py'}
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-10 01:55:04,683 INFO    MainThread:3760 [wandb_init.py:_log_setup():533] Logging user logs to ./wandb/run-20241110_015504-pt-t5-small-schema-L5-1/logs/debug.log
2024-11-10 01:55:04,684 INFO    MainThread:3760 [wandb_init.py:_log_setup():534] Logging internal logs to ./wandb/run-20241110_015504-pt-t5-small-schema-L5-1/logs/debug-internal.log
2024-11-10 01:55:04,684 INFO    MainThread:3760 [wandb_init.py:init():619] calling init triggers
2024-11-10 01:55:04,684 INFO    MainThread:3760 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
